,,Based on CINELORA AI Test Plan (Scope & Device coverage),,,,,,
,,,,,,,,
Requirement ID,Check ID,Check item description,Priority,Browser,Platform,Status,Defect ID,Comments
RQ-AUTH-01,CH-AUTH-01,"Register new user with valid email and password, user is redirected to dashboard",High,Chrome,Desktop Windows 10/11,PASSED,,
RQ-AUTH-01,CH-AUTH-01,"Register new user with valid email and password, user is redirected to dashboard",High,Safari,Desktop macOS,PASSED,,
RQ-AUTH-01,CH-AUTH-01,"Register new user with valid email and password, user is redirected to dashboard",High,Chrome,Mobile web Android,PASSED,,
RQ-AUTH-01,CH-AUTH-01,"Register new user with valid email and password, user is redirected to dashboard",High,Safari,Mobile web iOS,PASSED,,
RQ-AUTH-01,CH-AUTH-02,"Register with already registered email, system shows ""email already in use"" and does not create account",High,Chrome,Desktop Windows 10/11,PASSED,,
RQ-AUTH-01,CH-AUTH-02,"Register with already registered email, system shows ""email already in use"" and does not create account",High,Firefox,Desktop Windows 10/11,PASSED,,
RQ-AUTH-01,CH-AUTH-02,"Register with already registered email, system shows ""email already in use"" and does not create account",High,Safari,Desktop macOS,PASSED,,
RQ-AUTH-02,CH-AUTH-03,"After registration, verification email is sent; following the link activates the account",High,Chrome,Desktop Windows 10/11,PASSED,,
RQ-AUTH-02,CH-AUTH-03,"After registration, verification email is sent; following the link activates the account",High,Safari,Desktop macOS,PASSED,,
RQ-AUTH-02,CH-AUTH-03,"After registration, verification email is sent; following the link activates the account",High,Chrome,Mobile web Android,SKIPPED,,Email delivery tests on Android postponed to next cycle
RQ-AUTH-03,CH-AUTH-04,"Login with valid credentials, user lands on dashboard",High,Chrome,Desktop Windows 10/11,PASSED,,
RQ-AUTH-03,CH-AUTH-04,"Login with valid credentials, user lands on dashboard",High,Firefox,Desktop Windows 10/11,PASSED,,
RQ-AUTH-03,CH-AUTH-04,"Login with valid credentials, user lands on dashboard",High,Edge,Desktop Windows 10/11,PASSED,,
RQ-AUTH-03,CH-AUTH-04,"Login with valid credentials, user lands on dashboard",High,Safari,Desktop macOS,PASSED,,
RQ-AUTH-03,CH-AUTH-04,"Login with valid credentials, user lands on dashboard",High,Chrome,Mobile web Android,PASSED,,
RQ-AUTH-03,CH-AUTH-04,"Login with valid credentials, user lands on dashboard",High,Safari,Mobile web iOS,PASSED,,
RQ-AUTH-03,CH-AUTH-05,"Login with invalid password, error message is shown and access is not granted",High,Chrome,Desktop Windows 10/11,PASSED,,
RQ-AUTH-03,CH-AUTH-05,"Login with invalid password, error message is shown and access is not granted",High,Firefox,Desktop Windows 10/11,PASSED,,
RQ-AUTH-03,CH-AUTH-05,"Login with invalid password, error message is shown and access is not granted",High,Safari,Desktop macOS,PASSED,,
RQ-AUTH-03,CH-AUTH-05,"Login with invalid password, error message is shown and access is not granted",High,Chrome,Mobile web Android,FAILED,BUG-LOGIN-001,User is logged in after several attempts with wrong password
RQ-AUTH-04,CH-AUTH-06,Forgot password with existing email: reset email is received and new password can be set,High,Chrome,Desktop Windows 10/11,PASSED,,
RQ-AUTH-04,CH-AUTH-06,Forgot password with existing email: reset email is received and new password can be set,High,Safari,Desktop macOS,PASSED,,
RQ-AUTH-04,CH-AUTH-06,Forgot password with existing email: reset email is received and new password can be set,High,Chrome,Mobile web Android,PASSED,,
RQ-AUTH-04,CH-AUTH-06,Forgot password with existing email: reset email is received and new password can be set,High,Safari,Mobile web iOS,PASSED,,
RQ-AUTH-04,CH-AUTH-07,"Forgot password with non-existing email: friendly message returned, no information leak whether account exists",Medium,Chrome,Desktop Windows 10/11,PASSED,,
RQ-AUTH-04,CH-AUTH-07,"Forgot password with non-existing email: friendly message returned, no information leak whether account exists",Medium,Safari,Desktop macOS,PASSED,,
RQ-AUTH-04,CH-AUTH-07,"Forgot password with non-existing email: friendly message returned, no information leak whether account exists",Medium,Chrome,Mobile web Android,SKIPPED,,Test not executed in this cycle
